currency|chain|display_name|deposit_status|withdraw_status
imx|imx|ERC20|allowed|allowed
ens|ens|ERC20|allowed|allowed
trace|trace|ERC20|allowed|allowed
kt|bep20kt|BEP20|allowed|allowed
adt|adt|ERC20|allowed|prohibited
mgo|mgo|ERC20|allowed|prohibited
abl|abl|ERC20|allowed|prohibited
wgp|wgp|WGP|prohibited|prohibited
wgp|wgp1|ERC20|allowed|prohibited
mvl|mvl|ERC20|allowed|prohibited
mzk|mzk|ERC20|allowed|prohibited
1cat|1cat|ERC20|allowed|allowed
1sol|1sol|ERC20|prohibited|prohibited
abbc|abbc|BEP20|allowed|allowed
aca|aca|ACA|allowed|allowed
ace|ace|BEP20|allowed|allowed
acs|acs|SOLANA|allowed|allowed
adp|adp|ERC20|allowed|allowed
aegis|aegis|ERC20|prohibited|prohibited
agix|agix|ERC20|allowed|allowed
agld|agld|ERC20|allowed|allowed
ai|ai|BEP20|allowed|allowed
aidoge|aidoge|ARBITRUMONE|allowed|allowed
aioz|aioz|ERC20|allowed|allowed
aitech|aitech|BEP20|allowed|allowed
akt|akt|AKT|allowed|allowed
ali|ali|ERC20|allowed|allowed
alice|alice|ERC20|allowed|allowed
alt|alt|ERC20|allowed|allowed
alt0|alt0|BEP20|allowed|allowed
amu|amu|SPL|allowed|allowed
analos|analos|SOLANA|allowed|allowed
anc|anc|TERRACLASSIC|prohibited|allowed
anml|anml|ERC20|allowed|allowed
anml|maticanml|MATIC|allowed|allowed
anv|anv|ERC20|allowed|allowed
aos|aos|BEP20|prohibited|allowed
ape|ape|ERC20|allowed|allowed
aped|aped|ERC20|allowed|allowed
aqt|aqt|ERC20|allowed|allowed
arb|arb|ARBITRUMONE|allowed|allowed
arg|cap20arg|CAP20|allowed|allowed
arix|bep20arix|BEP20|prohibited|prohibited
arix|erc20arix|ERC20|prohibited|prohibited
arkm|arkm|ERC20|allowed|allowed
arkn|arkn|BEP20|allowed|allowed
ars|ars|ARS|prohibited|prohibited
arty|arty|BEP20|allowed|allowed
arv|arv|BEP20|allowed|allowed
astr|astr|ASTR|allowed|allowed
atm|cap20atm|CAP20|allowed|allowed
ats|ats|SOLANA|prohibited|allowed
audio|audio|ERC20|allowed|allowed
aurora|aurora|ERC20|allowed|allowed
aury|aury|SOLANA|allowed|allowed
azero|azero|AZERO|allowed|allowed
baby|baby|ERC20|allowed|allowed
babydoge|babydoge|BEP20|allowed|allowed
babydoge|babydoge1|ERC20|allowed|allowed
bake|bake|BEP20|allowed|allowed
banana|banana|ERC20|allowed|allowed
bbc|bep20bbc|BEP20|allowed|allowed
bbf|bbf|ERC20|allowed|allowed
beamx|beamx|ERC20|allowed|allowed
benji|erc20benji|ERC20|allowed|allowed
berry|berry|ERC20|allowed|allowed
bico|bico|ERC20|allowed|allowed
bitci|bitci|BITCI|allowed|allowed
bld|bld|BLD|allowed|allowed
blur|blur|ERC20|allowed|allowed
bnsx|bnsx|BRC20|allowed|allowed
bob|bob1|ERC20|allowed|prohibited
boba|boba|ERC20|allowed|allowed
bone|bone|ERC20|allowed|allowed
bonk|bonk|SOLANA|allowed|allowed
boo|boo|FTM|prohibited|allowed
borg|borg|ERC20|allowed|allowed
boring|boring|ERC20|allowed|allowed
boson|boson|ERC20|allowed|allowed
bp|bp|ERC20|prohibited|prohibited
breed|breed|ERC20|allowed|allowed
breed|polybreed|MATIC|allowed|prohibited
brise|brise|BRISE|allowed|allowed
brl|brl|BRL|prohibited|prohibited
brt|brt|BEP20|prohibited|allowed
brwl|brwl|ERC20|allowed|allowed
bssb|bssb|BRC20|allowed|allowed
bull|bull|MATIC|allowed|allowed
bwo|bwo|MATIC|allowed|allowed
bxen|bxen|BEP20|allowed|allowed
c98|c98|ERC20|allowed|allowed
ca|erc20ca|ERC20|allowed|allowed
cake|cake|BEP20|allowed|prohibited
capo|capo|BEP20|allowed|prohibited
caw|caw|ERC20|allowed|prohibited
cbk|cbk|ERC20|allowed|allowed
cbk|polycbk|MATIC|allowed|prohibited
ccrowd|ccc|ERC20|allowed|allowed
ceek|ceek|BEP20|allowed|allowed
cel|cel|ERC20|prohibited|prohibited
celo|celo|CELO|allowed|allowed
cere|cere|ERC20|allowed|allowed
cgpt|cgpt|BEP20|allowed|allowed
chad|chad|ERC20|allowed|prohibited
col|col|BEP20|allowed|allowed
com|com|BRC20|allowed|allowed
coq|coq|AVAX|allowed|allowed
core|core|CORE|allowed|allowed
crpt|crpt|ERC20|allowed|allowed
crts|crts|ERC20|allowed|allowed
ctc|ctc|ERC20|allowed|allowed
ctx|ctx|ERC20|allowed|allowed
cube|cube|CUBE|prohibited|prohibited
cudos|cudos|ERC20|allowed|allowed
cusd|cusd|CELO|allowed|allowed
cvx|cvx|ERC20|allowed|allowed
cyber|bep20cyber|BEP20|allowed|allowed
cyber|cyber|ERC20|allowed|allowed
cyber|opcyber|OPTIMISM|allowed|allowed
dav|dav|ARBITRUMONE|allowed|prohibited
dc|dc1|DOGECHAIN|allowed|allowed
dck|dck|BEP20|allowed|allowed
dep|dep|ERC20|allowed|allowed
deso|deso|DESO|allowed|allowed
dexe|dexe|ERC20|allowed|allowed
dfi|dfi|DFI|allowed|allowed
dfx|dfx|ERC20|prohibited|prohibited
dfx|polydfx|MATIC|prohibited|allowed
dia|dia|ERC20|allowed|allowed
die|die|ERC20|prohibited|prohibited
dio|dio|SOLANA|allowed|allowed
dis|ethfair|DISCHAIN|allowed|allowed
dks|dks|BEP20|allowed|allowed
dodo|dodo|ERC20|allowed|allowed
dog|dog|ERC20|prohibited|allowed
dora|erc20dora|ERC20|allowed|allowed
dose|dose|ERC20|allowed|allowed
dovi|dovi|BRC20|allowed|allowed
dusk|dusk|ERC20|allowed|allowed
dydx|dydx|ERC20|allowed|allowed
dyp|erc20dyp|ERC20|allowed|allowed
dzoo|erc20dzoo|ERC20|prohibited|prohibited
egame|egame|ERC20|allowed|prohibited
egld|egld|EGLD|allowed|allowed
egs|egs|ERC20|prohibited|prohibited
elon|elon|ERC20|allowed|prohibited
elu|elu|SOLANA|allowed|allowed
erg|erg|ERG|allowed|allowed
ern|ern1|ERC20|allowed|allowed
ertha|ertha|BEP20|allowed|prohibited
ethw|ethw|ETHW|allowed|allowed
eul|eul|ERC20|allowed|allowed
euroc|euroc|ERC20|allowed|allowed
eurt|eurt|ERC20|allowed|allowed
ever|erc20ever|ERC20|allowed|allowed
evmos|evmos|EVMOS|allowed|allowed
face|bscface1|BEP20|allowed|prohibited
face|trc20face|TRC20|allowed|prohibited
fanc|fanc|ERC20|allowed|allowed
fct2|fct2|FCT2|allowed|allowed
fdt|fdt|BEP20|allowed|allowed
fet|fet|ERC20|allowed|allowed
fio|fio|FIO|prohibited|prohibited
fitfi|fitfi|AVAXCCHAIN|allowed|allowed
fitfi|fitfi1|STEP|allowed|allowed
fiu|fiu|BEP20|allowed|allowed
floki|bep20floki|BEP20|allowed|allowed
floki|floki|ERC20|allowed|allowed
flr|flr|FLR|allowed|allowed
flz|flz|ERC20|allowed|allowed
fnsa|ln2|FINSCHIA|allowed|allowed
fota|fota|BEP20|allowed|allowed
fox|fox|ERC20|prohibited|prohibited
fud|fud|TRC20|allowed|prohibited
fuse|fuse|ERC20|allowed|allowed
fx|fx|ERC20|allowed|allowed
fxs|fxs|ERC20|allowed|allowed
gal|galgalaxy|ERC20|allowed|allowed
gala|erc20gala2|ERC20|allowed|allowed
gari|gari|SOLANA|allowed|allowed
gcoin|gcoin|MATIC|prohibited|allowed
gear|gear|BEP20|prohibited|allowed
gearbox|gearbox|ERC20|allowed|allowed
gf|gf|ERC20|allowed|allowed
gft|gft|BEP20|allowed|allowed
glmr|glmr|GLMR|allowed|allowed
gmee|gmee|ERC20|allowed|allowed
gmpd|gmpd1|BEP20|allowed|allowed
gmt|erc20gmt|ERC20|allowed|prohibited
gmt|gmt|SOLANA|allowed|allowed
gmx|arc20gmx|ARBITRUMONE|allowed|prohibited
gmx|gmx|AVAXCCHAIN|allowed|allowed
gno|gno|ERC20|allowed|allowed
gns|gns|ARBITRUMONE|allowed|allowed
gns|polygns|MATIC|allowed|allowed
gods|gods|ERC20|allowed|allowed
gq|gq|BEP20|allowed|allowed
grail|grail|ARBITRUMONE|allowed|allowed
grok|grok|ERC20|allowed|allowed
grv|bep20grv|BEP20|allowed|prohibited
grv|grv|ERC20|allowed|allowed
gst|gst|SOLANA|prohibited|allowed
gsterc|gsterc|ERC20|allowed|prohibited
gtai|gtai|BEP20|allowed|allowed
h2o|h2o|BEP20|allowed|allowed
hao|hao|ERC20|allowed|allowed
hbb|hbb|SOLANA|allowed|allowed
hec|hec|AVAXCCHAIN|allowed|allowed
hft|hft|ERC20|allowed|allowed
hifi|hifi|ERC20|allowed|allowed
hoop|hoop|BEP20|allowed|prohibited
hot|holo|ERC20|allowed|allowed
hotcross|hotcross|BEP20|prohibited|prohibited
hotcross|hotcross1|ERC20|allowed|prohibited
hsf|hsf|ERC20|allowed|allowed
htx|bep20htx|BEP20|allowed|prohibited
htx|bttchtx|BTTC|allowed|prohibited
htx|erc20htx|ERC20|allowed|prohibited
htx|htx|TRC20|allowed|allowed
hunt|hunt|ERC20|allowed|allowed
hype|hype|BEP20|allowed|allowed
id|erc20id|ERC20|allowed|allowed
id|id|BEP20|allowed|allowed
idex|idex|ERC20|allowed|allowed
igu|igu|BEP20|allowed|allowed
imgnai|imgnai|ERC20|allowed|allowed
indi|indi|ERC20|prohibited|prohibited
ing|ing|BEP20|allowed|allowed
inr|inery|BEP20|allowed|allowed
inv|inv|ERC20|prohibited|prohibited
ioi|ioi|ERC20|prohibited|prohibited
ipv|erc20ipv|ERC20|allowed|allowed
ita|cap20ita|CAP20|allowed|allowed
jasmy|jasmy|ERC20|allowed|allowed
joe|joe|AVAXCCHAIN|allowed|allowed
joy|joy|KLAY|allowed|allowed
jto|jto|SPL|allowed|allowed
jumbo|jumbo|NEAR|allowed|allowed
jup|jup|SOLANA|allowed|allowed
juv|cap20juv|CAP20|allowed|allowed
kai|kai|BEP20|allowed|allowed
kcal|stepkcal|STEP|allowed|allowed
kct|kct|ERC20|allowed|allowed
kicks|kicks|BEP20|allowed|allowed
klv|klv|TRC20|allowed|prohibited
kma|kma|KMA|prohibited|allowed
koi|koi|ERC20|prohibited|prohibited
kok|kok|ERC20|prohibited|prohibited
kripto|kripto|BITCI|allowed|allowed
krrx|krrx|TRC20|allowed|allowed
kube|kube|CARDANO|allowed|allowed
kyve|kyve|KYVE|allowed|allowed
ladys|ladys|ERC20|allowed|allowed
lai|erc20lai|ERC20|allowed|prohibited
lbl|bep20lbl|BEP20|allowed|allowed
lbl|lbl|ERC20|allowed|prohibited
lbp|lbp1|ERC20|allowed|allowed
ldo|ldo|ERC20|allowed|allowed
lena|lena|ERC20|allowed|allowed
lhinu|lhinu|ERC20|allowed|allowed
like|like|SOLANA|allowed|allowed
lith|lith|ERC20|allowed|allowed
lmr|lmr|ERC20|prohibited|allowed
lmwr|lmwr|ERC20|allowed|allowed
loka|loka|ERC20|allowed|allowed
looks|looks|ERC20|allowed|allowed
loot|loot|ERC20|allowed|allowed
love|erc20love|ERC20|allowed|prohibited
lovely|erc2lovely|ERC20|allowed|allowed
lovely|lovely|BEP20|allowed|prohibited
lpt|lpt|ERC20|allowed|allowed
lqty|lqty|ERC20|allowed|allowed
lsd|bep20lsd|BEP20|allowed|allowed
luna|2luna|LUNA|allowed|allowed
lunr|lunr|ERC20|allowed|allowed
lvn|lvn|LVN|allowed|allowed
mage|mage|ERC20|allowed|allowed
magic|magic|ARBITRUMONE|allowed|allowed
manta|manta|MANTA|allowed|allowed
map|map|ERC20|allowed|allowed
match|match|ERC20|prohibited|prohibited
mavia|mavia|ERC20|allowed|allowed
mbl|mbl|MBL|prohibited|prohibited
mbox|mbox|BEP20|allowed|allowed
mbx|mbx|KLAY|allowed|allowed
mcontent|mcontent|BEP20|allowed|allowed
mcrt|mcrt|BEP20|allowed|allowed
medamon|medamon|BEP20|allowed|allowed
meme|erc20meme|ERC20|allowed|allowed
mesa|mesa|ERC20|allowed|allowed
metis|metis|ERC20|prohibited|prohibited
mev|mev1|MEV|allowed|allowed
mgg|mgg|ERC20|allowed|allowed
mice|mice|BRC20|allowed|allowed
mine|mine|BEP20|allowed|allowed
mlk|mlk|LUK|allowed|allowed
mmf|mmf|MATIC|prohibited|allowed
mnt|mnt1|ERC20|allowed|allowed
mong|mong|ERC20|allowed|allowed
mono|mono1|ERC20|allowed|prohibited
moov|moov|ERC20|allowed|allowed
movez|movez|BEP20|allowed|allowed
movr|movr|MOVR|allowed|allowed
mpl|mpl|ERC20|prohibited|prohibited
mplx|mplx|SOLANA|allowed|allowed
mrs|mrs|BEP20|allowed|allowed
mta|hrc20mta|HECO|prohibited|prohibited
mta|mta|ERC20|prohibited|allowed
mu|mu|BEP20|prohibited|allowed
mubi|mubi|BRC20|allowed|allowed
mudol2|mudol2|BEP20|allowed|allowed
multi|multi|ERC20|allowed|allowed
music|music|ERC20|allowed|allowed
myro|myro|SOLANA|allowed|allowed
naka|naka|PRC20|allowed|allowed
navx|navx|SUI|allowed|allowed
nct|nct|ERC20|prohibited|prohibited
next|arcnext|ARBITRUMONE|allowed|allowed
next|next|ERC20|allowed|prohibited
nfp|nfp|BEP20|allowed|allowed
ngl|ngl|ERC20|allowed|allowed
nodl|nodl|NODL|allowed|allowed
noia|noia|ERC20|allowed|allowed
npt|npt|KLAY|allowed|allowed
nt|bep20nt|BEP20|allowed|allowed
nt|nt|NT|prohibited|prohibited
num|erc20num|ERC20|allowed|allowed
num|num1|NUM|allowed|prohibited
nym|nym|ERC20|allowed|allowed
oas|oas|OAS|allowed|allowed
ocean|ocean1|ERC20|allowed|allowed
oct|oct|NEAR|allowed|allowed
og|cap20og|CAP20|allowed|allowed
ogv|ogv|ERC20|allowed|allowed
okb|okb|ERC20|allowed|prohibited
oland|oland|BEP20|allowed|allowed
ondo|ondo|ERC20|allowed|allowed
onit|onit|ERC20|allowed|allowed
op|optop|OPTIMISM|allowed|allowed
opul|algoopul|ALGOOPUL|allowed|prohibited
opul|arc20opul|ARC20OPUL|allowed|prohibited
opul|opul|OPUL|allowed|prohibited
orb|erc20orb|ERC20|allowed|prohibited
orb|polyorb|MATIC|allowed|allowed
orbr|orbr|ERC20|allowed|allowed
orbs|orbs|ERC20|allowed|allowed
orc|orc|ERC20|allowed|allowed
ordi|ordi|BRC20|allowed|allowed
ords|ords|ERC20|allowed|allowed
osmo|osmo|OSMO|allowed|allowed
paal|paal|ERC20|allowed|allowed
pando|pando|ERC20|allowed|allowed
paradox|paradox|ERC20|allowed|allowed
pbr|bep20pbr|BEP20|allowed|allowed
pbr|pbr|ERC20|allowed|prohibited
pci|pci2|PAYCOIN|allowed|allowed
pendle|pendle|ERC20|allowed|allowed
people|people|ERC20|allowed|allowed
pepe|pepe|ERC20|allowed|allowed
phb|phb|BEP20|allowed|allowed
phcr|phcr|ERC20|allowed|prohibited
pixel|pixel|ERC20|allowed|prohibited
pla|pla|ERC20|prohibited|prohibited
plu|plu|ERC20|allowed|allowed
ply|ply|ERC20|prohibited|prohibited
pokt|pokt|POKT|prohibited|allowed
polc|polc|ERC20|allowed|allowed
ponke|ponke|SPL|allowed|allowed
pooh|pooh|ERC20|allowed|allowed
poolx|bep20poolx|BEP20|allowed|allowed
poolz|bep20poolz|BEP20|prohibited|allowed
poolz|poolz|ERC20|prohibited|prohibited
por|cap20por|CAP20|allowed|allowed
prisma|prisma|ERC20|allowed|allowed
prom|erc20prom|ERC20|allowed|allowed
prom|prom|BEP20|prohibited|prohibited
prq|prq|ERC20|allowed|allowed
psg|cap20psg|CAP20|allowed|allowed
pstake|pstake|ERC20|allowed|allowed
pyg|pyg|PYG|prohibited|prohibited
pyr|pyr1|ERC20|allowed|allowed
pyth|pyth|SPL|allowed|allowed
pyusd|pyusd|ERC20|allowed|allowed
qom|qom|ERC20|prohibited|prohibited
qrdo|qrdo|ERC20|allowed|allowed
quick|quick|MATIC|allowed|allowed
rab|arc20rab|ARBITRUMONE|allowed|prohibited
rab|rab|BEP20|allowed|allowed
raca|raca|ERC20|allowed|allowed
radar|radar|ERC20|prohibited|allowed
rain|bep20rain|BEP20|allowed|prohibited
rain|rain|ERC20|allowed|allowed
ranker|bscranker|BEP20|prohibited|prohibited
ranker|ranker|ERC20|allowed|allowed
rare|rare|ERC20|allowed|prohibited
rats|rats|BRC20|allowed|allowed
rdnt|arc20rdnt1|ARBITRUMONE|allowed|allowed
rei|rei|REI|allowed|allowed
reth|erc20reth|ERC20|prohibited|prohibited
reth|reth|MATIC|prohibited|prohibited
revo|revo|BEP20|allowed|allowed
revv|revv|ERC20|allowed|allowed
rifi|bep20rifi|BEP20|prohibited|allowed
rifi|rifi|ERC20|prohibited|prohibited
rio|rio|ERC20|allowed|allowed
rly|rly|ERC20|allowed|allowed
rock|trc20rock1|TRC20|allowed|allowed
roco|roco|AVAXCCHAIN|allowed|allowed
route|polyroute|MATIC|allowed|allowed
route|route|ERC20|allowed|allowed
rpk|rpk|ERC20|allowed|allowed
rpl|rpl|ERC20|allowed|allowed
rss3|rss3|ERC20|allowed|allowed
rune|rune|RUNE|allowed|allowed
ryoma|ryoma|BEP20|allowed|allowed
sao|sao|SOLANA|allowed|allowed
saros|saros|SPL|allowed|allowed
sats|sats|BRC20|allowed|allowed
scream|scream|FTM|prohibited|allowed
scrt|scrt|SCRT|allowed|allowed
sd|sd|ERC20|allowed|allowed
sdao|sdao|ERC20|allowed|allowed
sdn|sdn|SDN|allowed|allowed
sean|sean|ERC20|allowed|allowed
sei|sei|SEI|allowed|allowed
sfund|sfund|BEP20|allowed|allowed
sgb|sgb|SGB|prohibited|allowed
shit|shit|ERC20|prohibited|prohibited
shrap|shrap|CCHAINERC20|allowed|allowed
sign|sign|ERC20|allowed|prohibited
silly|silly|SPL|allowed|allowed
sis|bep20sis|BEP20|allowed|allowed
sis|sis|ERC20|allowed|prohibited
skeb|skeb|ERC20|allowed|allowed
slc|slc|SOLANA|prohibited|allowed
smcw|smcw|BEP20|allowed|allowed
smiley|smiley|ERC20|allowed|allowed
sns|sns|SOLANA|allowed|allowed
solo|solo|XRP|allowed|allowed
sora|sora|ERC20|allowed|prohibited
sos|sos1|ERC20|prohibited|prohibited
soul|soul|ERC20|allowed|allowed
spell|spell|ERC20|allowed|allowed
spellfire|spellfire|ERC20|allowed|allowed
sprt|erc20sprt|ERC20|allowed|prohibited
sps|sps|BEP20|allowed|prohibited
spume|spume1|ERC20|prohibited|allowed
srm|hrc20srm|HECO|prohibited|prohibited
srm|srm|ERC20|allowed|allowed
srt|srt|ERC20|allowed|prohibited
ssv|ssv|ERC20|allowed|allowed
ssx|kip7ssx|KLAY|prohibited|prohibited
starly|starly|BEP20|allowed|allowed
stc|stc|BEP20|allowed|allowed
steth|steth|ERC20|allowed|allowed
stf|stf|ERC20|allowed|allowed
stg|stg|ERC20|allowed|allowed
store|store|ERC20|allowed|allowed
strk|erc20strk|ERC20|allowed|prohibited
strk|strk|STARKNET|allowed|prohibited
strm|strm|BEP20|allowed|allowed
strx|strx|TRC20|allowed|prohibited
stt|stt|STT|allowed|allowed
sudo|sudo|ERC20|prohibited|prohibited
sui|sui|SUI|allowed|allowed
suku|suku|ERC20|allowed|allowed
super|super|ERC20|allowed|allowed
swap|swap|ERC20|allowed|allowed
sweat|nearsweat|NEAR|allowed|allowed
sweat|sweat|ERC20|allowed|allowed
sxp|sxp1|SOLAR|allowed|allowed
sylo|sylo|ERC20|allowed|prohibited
syn|syn|ERC20|allowed|allowed
sys|sys|SYS|allowed|allowed
t|t|ERC20|allowed|prohibited
tao|bep20tao|BEP20|prohibited|allowed
tao|tao|NEAR|prohibited|allowed
tava|tava|ERC20|allowed|allowed
tcnh|trc20tcnh1|TRC20|allowed|prohibited
tdx|tdx|BEP20|allowed|prohibited
tenet|tenet1|TENET|allowed|allowed
tia|tia|TIA|allowed|allowed
tinc|tinc|BEP20|allowed|allowed
tlm|tlm|ERC20|allowed|allowed
tlos|erc20tlos|ERC20|allowed|allowed
toke|toke|ERC20|allowed|allowed
tomi|erc20tomi|ERC20|allowed|allowed
toms|toms|ERC20|allowed|allowed
ton|ton|TON|prohibited|prohibited
torn|torn|ERC20|prohibited|prohibited
tox|bep20tox|BEP20|allowed|allowed
tpy|arb20tpy|ARBITRUM|allowed|allowed
tpy|erc20tpy|ERC20TPY|allowed|allowed
trac|trac|ERC20|allowed|allowed
troll|troll|ERC20|allowed|allowed
tru|tru|ERC20|allowed|allowed
turbo|turbo|ERC20|allowed|allowed
turt|turt|BRC20|allowed|allowed
uft|polyuft|MATIC|allowed|allowed
uft|uft|ERC20|allowed|allowed
unb|unb1|ERC20|allowed|allowed
unfi|unfi|ERC20|allowed|allowed
unibot|unibot|ERC20|allowed|allowed
unic|unic|ERC20|prohibited|prohibited
unq|unq|UNQ|allowed|allowed
uos|uos|ERC20|allowed|allowed
upi|upi|ERC20|prohibited|prohibited
usdj|usdj|TRC20|allowed|allowed
usn|usn|NEAR|prohibited|allowed
ustc|ust|USTC|allowed|allowed
ut|ut|BEP20|allowed|allowed
uyu|uyu|UYU|prohibited|prohibited
velo|velo|BEP20|allowed|allowed
velo|xlmvelo|XLMVELO|allowed|allowed
vemp|vemp|ERC20|allowed|allowed
vic|vic|VIC|allowed|allowed
vinu|erc20vinu|ERC20|allowed|prohibited
vinu|vinu|BEP20|allowed|allowed
vision|bepvision|BEP20|allowed|allowed
vlx|vlx|BEP20|allowed|allowed
volt|bep20volt1|BEP20|allowed|prohibited
volt|erc20volt1|ERC20|allowed|prohibited
voxel|voxel|MATIC|allowed|allowed
vpad|bep20vpad|BEP20|allowed|allowed
vr|vr|ERC20|allowed|allowed
vra|vra|ERC20|allowed|allowed
vrtx|vrtx|ARC20|allowed|allowed
vvs|crovvs|CRO|prohibited|prohibited
vvs|vvs|ERC20|prohibited|prohibited
wallet|wallet|ERC20|allowed|allowed
war|war|HECO|prohibited|prohibited
waxl|waxl|ERC20|allowed|allowed
wbt|trc20wbt|TRC20|allowed|prohibited
wbt|wbt|ERC20|allowed|allowed
we|we|KLAY|allowed|allowed
well|well|GLMR|allowed|allowed
wemix|wemix1|WEMIX|allowed|allowed
wen|wen|SPL|allowed|allowed
whales|whales|SPL|allowed|allowed
wif|wif|SOLANA|allowed|allowed
wifi|wifi|MATIC|allowed|allowed
wild|wild|ERC20|prohibited|prohibited
win|win|TRC20|allowed|allowed
wld|erc20wld|ERC20|allowed|allowed
wld|wld|OPTIMISM|allowed|allowed
wlkn|wlkn|SOLANA|allowed|allowed
wmt|wmt|ADA|allowed|allowed
wnd|wnd|HECO|prohibited|prohibited
wndr|wndr|BEP20|prohibited|prohibited
wojak|wojak|ERC20|allowed|allowed
woof|woof|ERC20|allowed|allowed
wpci|wpci|ERC20|allowed|allowed
wsm|bep20wsm|BEP20|allowed|allowed
wstusdt|wstusdt|TRC20|prohibited|prohibited
wwy|wwy|BEP20|allowed|allowed
xaut|xaut|ERC20|allowed|allowed
xcad|xcad|ERC20|allowed|allowed
xcn|xcn|ERC20|allowed|allowed
xcur|erc20xcur|ERC20|allowed|prohibited
xcur|xcur|BEP20|allowed|prohibited
xdc|xdc|XDC|allowed|allowed
xdefi|xdefi|ERC20|allowed|allowed
xen|xen|ERC20|allowed|allowed
xeta|xeta|AVAXCCHAIN|allowed|allowed
xfi|xfi|XFI|allowed|allowed
xno|xno|ERC20|allowed|allowed
xpet|xpet|ARBITRUM|allowed|allowed
xpla|xpla|XPLA|allowed|allowed
xpnt|polyxpnt|MATIC|prohibited|prohibited
xpnt|xpnt|ERC20|allowed|prohibited
xtm|bep20xtm|BEP20|allowed|allowed
xtm|hrc20xtm|HRC20|prohibited|prohibited
xyo|xyo|ERC20|allowed|allowed
ygg|hrc20ygg|HECO|prohibited|prohibited
ygg|ygg|ERC20|allowed|allowed
zbc|zbc|SOLANA|allowed|allowed
zcx|zcx1|ERC20|allowed|allowed
zed|zed|MATIC|allowed|allowed
zelix|zelix|ERC20|allowed|allowed
zero|zero|SOLANA|allowed|allowed
zeta|erc20zeta|ERC20|allowed|allowed
zeta|zeta|ZETA|allowed|allowed
zig|zig|ERC20|allowed|allowed
zkb|zkb|ERC20|allowed|allowed
zkf|zkf|ERC20|allowed|allowed
zkp|polyzkp|MATIC|allowed|prohibited
zkp|zkp|ZKP|allowed|allowed
znt|znt|CUBE|prohibited|prohibited
zuzalu|zuzalu|ERC20|allowed|allowed
